无线蜂窝电话通信技术 发展速度 飞速
信道预约 用于解决 隐蔽站带来的碰撞问题
A站 发送 请求发送RTS
AP 接收 RTS帧
AP 发送 允许发送CTS
CTS帧 包含 SIFS
CTS帧 包含 时间戳
RTS帧 发送 A站
CTS帧 发送 AP和B站
DATA帧 包含 时间戳
NAV 设置 未收到RTS/CTS的站
RTS/CTS 减少 隐蔽站干扰
RTS 用于 信道预约
CTS 用于 信道预约
SIFS 属于 时间间隔
数据帧 长度 2346字节
控制帧 长度 20字节或14字节
信道预约 减少 碰撞导致的资源浪费
数据帧 超过某一数值时 使用RTS和CTS有利
有线局域网 MAC帧长 短些
802.11标准 包含 线局域网
信噪比 影响 误码率
调制技术 影响 数据发送速率
802.11标准 未规定 数据率自适应算法
厂商 实现 自适应改变数据率
TCP协议 类似 拥塞控制处理思路
802.11局域网 包含 MAC帧
MAC帧 分为 三种类型
控制帧 属于 MAC帧
数据帧 属于 MAC帧
管理帧 属于 MAC帧
802.11局域网 包含 数据帧
802.11局域网 包含 控制帧
802.11局域网 包含 管理帧
802.11数据帧 由 MAC首部组成
MAC首部 长度 30字节
802.11数据帧 包含 帧控制字段
帧控制字段 包含子类型 0000
帧控制字段 包含子类型 1011
帧控制字段 包含子类型 1100
帧控制字段 包含子类型 1110
MAC首部 包含于 802.11数据帧
帧主体 包含于 802.11数据帧
FCS 位于 MAC尾部
地址1 是 接收地址
地址2 是 发送地址
地址3和4 取决于 来自AP和去往AP字段的数值
BSSID 等于 AP的MAC地址
移动网络 使用 地址
802.11标准 包含 分配系统DS
接入点AP 代替 DS
站点A 发送数据帧给 站点B
数据帧 包含 帧控制字段
地址1 接收地址 AP的地址BSSID
地址2 发送地址 站点A的MAC地址
地址3 目的地址 站点B的MAC地址
接入点AP 转发数据帧给 站点B
数据帧 包含 去往AP=1, 来自AP=0
AP-B的数据帧首部 接收地址 目的地址MACB
AP-B的数据帧首部 发送地址 接入点AP的地址BSSID
站点A 发送数据帧给 接入点AP1
接入点AP1 转发802.11帧到 接入点AP2
站点A 使用ARP协议获取 默认路由器R的接口1地址MACR-1
IP数据报 装入 802.3帧
802.11数据帧首部 包含字段 接收地址BSSID1
802.11数据帧首部 包含字段 发送地址MACA
802.11数据帧首部 包含字段 目的地址MACR-1
802.11帧 包含 BSSID
接入点AP1 转换为 802.3帧
802.3帧 目的地址 MACR-1
802.3帧 源地址 MACA
路由器R 根据 IP数据报首部
路由器R 查找 转发表
路由器R 转发给 地址为IPB的设备
路由器R 使用协议 ARP
路由器R 获得硬件地址 MACB
接入点AP2 转换为 802.11帧
802.11帧 帧控制字段 去往AP=0, 来自AP=1
802.11帧首部 包含 地址1
802.11帧首部 包含 地址2
802.11帧首部 包含 地址3
序号控制字段 占位 16位
序号子字段 占位 12位
分片子字段 占位 4位
持续期字段 占位 16位
CSMA/CA协议 允许 信道预约
帧控制字段 包含 11个子字段
持续期 由 最高位为0时表示
协议版本字段 当前值 0
类型字段 区分 帧的功能
子类型字段 区分 帧的种子类型
控制帧 包含 RTS, CTS
误比特率 影响 数据帧长度选择
传输效率 提高 减少数据帧长度
帧 划分为 分片
信道质量差 需要 预约信道
RTS和CTS帧 用于 预约信道
停止等待协议 发送 分片
ACK 确认 分片传输
移动站 使用功率管理模式 活跃状态或待机状态
功率管理字段 指示 移动站的功率管理模式
接入点AP 总是处于 活跃状态
MAC帧 包含 功率管理字段
接入点AP 保存 处在待机状态的移动站名单
帧 被缓存 在AP中
信标帧 周期性发送 由AP
移动站 设置计时器 为接收信标帧
WEP字段 表明 对MAC帧的帧主体字段采用了加密算法
WEP加密算法 存在安全漏洞 IEEE802.11i解决
Wi-Fi联盟 制定 WPA
Wi-Fi联盟 制定 WPA2
WPA2 增加支持 AES加密算法
WPA2 符合 IEEE802.11i-2004
MAC帧首部 保留名称 WEP字段
WPAN 定义 个人工作地电子设备连接
WPAN 范围 约10m
WPAN 是 低功率、小范围、低速率和低价格的电缆替代技术
WPAN 工作在 2.4GHz的ISM颜段
PAN 又名 PersonalAreaNetwork
蓝牙系统 最早使用的WPAN 1994年爱立信公司推出的蓝牙(Bluetooth)系统
IEEE802.15工作组 制定 WPAN的IEEE标准
